,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,REAC,REAC:R-HSA-162582,Signal Transduction,4.985617935917405e-06,True,Signal Transduction,589,20,16,4028,0.8,0.027164685908319185,query_1,['REAC:0000000']
1,REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,1.822586937900415e-05,True,Signaling by Receptor Tyrosine Kinases,145,20,10,4028,0.5,0.06896551724137931,query_1,['REAC:R-HSA-162582']
