,ACH-000706,ACH-000667,ACH-000314,ACH-000062,ACH-000710,ACH-000852,ACH-000675,ACH-000677,ACH-000893,ACH-000845,ACH-000851,ACH-000892,ACH-000029,ACH-000951,ACH-000774,ACH-000012,ACH-000787,ACH-000590,ACH-000343,ACH-000587,ACH-000578,ACH-000791,ACH-000030,ACH-000733,ACH-000900,ACH-000451,ACH-000109,ACH-000861,ACH-000875,ACH-000888,ACH-000447,ACH-000309,ACH-000731,ACH-000681,ACH-000482,ACH-000327
ACH-000851,0.03980289726887724,0.06322938508190833,0.07197550234133163,0.015184154936941837,0.07274684202566159,0.05646777338807717,0.04140470692964642,0.054950012718799346,0.049157447141836036,0.027879435508020717,1.0,0.03623001562796958,0.04693054096614585,0.05604990636915371,0.028978564733086718,0.02408380462295438,0.059132220608957474,0.055551645749202676,0.08102054230668598,0.05391085389839594,0.037704712489812775,0.034418863140021336,0.028274732232019893,0.0471035397739682,0.048678007484821456,0.03291293157347633,0.04741658193918107,0.04296717005070739,0.04709952965345732,0.02793727734552451,0.042465850015704826,0.1101107498148804,0.04280675401549096,0.03233497045359598,0.053325667525174855,0.08285435993456079
ACH-000892,0.023329217251680055,0.05176251199375278,0.027015222523225,0.01665232716272099,0.04306640383362338,0.038901582212010406,0.038398119778015674,0.03487653731267236,0.04264130394981319,0.019678583827964547,0.03623001562796958,1.0,0.03217221439709635,0.041125515204135606,0.02920183482638603,0.019691309440669262,0.03282806754306695,0.028640888236645692,0.05533208566565329,0.01809715605384311,0.02853913120072816,0.022420859923361423,0.022357529931778353,0.02522742314330578,0.041527570799632485,0.03365807972065703,0.022387626124061533,0.027118797281340572,0.022957170528732335,0.041686496307094756,0.03576866477828532,0.0756725196166389,0.041470124444505124,0.026359349870612732,0.02279507998436909,0.05963683820853568
ACH-000029,0.020749115909918472,0.04253053017203591,0.03019887758538832,0.009589923925073903,0.034107610510406734,0.04120945108162907,0.03581611165980284,0.025087047521677484,0.03556319573263117,0.02288376630369371,0.04693054096614585,0.03217221439709635,1.0,0.032658273761845026,0.02514811359436188,0.0652703088364493,0.031504178752485304,0.027659359531265783,0.051351050959906636,0.03210608968766358,0.019745959285306695,0.035199964081669304,0.023942042418863323,0.028328955212147813,0.023582443276889763,0.023448881899960687,0.03258719518752302,0.023617286450505228,0.02816064896968819,0.020941282979169987,0.03772043952646562,0.07122107442472342,0.04019338587235568,0.027912675362740183,0.028258493986655104,0.032612455103475796
ACH-000951,0.029633896245284452,0.04118668839864405,0.04213763712939688,0.009012012184608311,0.051681554990008025,0.04819305985849852,0.03822337741762862,0.030641395956158748,0.0496070330444482,0.024032639484420883,0.05604990636915371,0.041125515204135606,0.032658273761845026,1.0,0.027060529972453135,0.015061637703450334,0.04710373927474312,0.03757793433715522,0.03649053890535398,0.02836046185926364,0.02262487459337853,0.03326886770732606,0.028475597725682922,0.026336298406385208,0.03763974952975759,0.03324320905669924,0.02810716147748085,0.035016555322858044,0.03651166245728718,0.02428495845133983,0.033487290598742274,0.08681279306378838,0.02931339148136106,0.02088500529396731,0.0332956545195309,0.04528026818429874
ACH-000774,0.025892706041631408,0.046599090764125196,0.03632861846196139,0.01195453210096947,0.040336662122321246,0.03227911944460927,0.030779404250202893,0.03921309333042924,0.0436783532758765,0.030349242354576016,0.028978564733086718,0.02920183482638603,0.02514811359436188,0.027060529972453135,1.0,0.01679318343878905,0.02843299226700357,0.051710028425035755,0.06354678783950575,0.021075270133016803,0.02261914723215033,0.030452809009106876,0.028561958292488556,0.024854975221631673,0.035064240685660865,0.029247019035895907,0.0232224424038224,0.02075867494100166,0.026200907373873084,0.018021104843018963,0.03675483616265298,0.11145858698298954,0.046247867000906,0.02739244237514415,0.04137394633306229,0.05650001532661006
ACH-000012,0.012674247466556673,0.023462446202970985,0.01733553584526532,0.007192866719158988,0.029752154967967976,0.02051334304055009,0.017337031900138695,0.017946877243359655,0.021041248345963336,0.015087223008015087,0.02408380462295438,0.019691309440669262,0.0652703088364493,0.015061637703450334,0.01679318343878905,1.0,0.028879969668841272,0.02128109389119056,0.03857292201003851,0.0350545638921859,0.01407071377916859,0.014837263226092441,0.019365507348399823,0.01397526343545707,0.015198338162270375,0.017709321250014634,0.01781940037717731,0.013104371445033118,0.016957295047399012,0.009990896415031286,0.02380887158314908,0.041407606381236285,0.024920047526576672,0.01788474276882314,0.034362381634079876,0.027722772277227723
ACH-000787,0.03532651795884821,0.06433277987684503,0.035467960447103215,0.010642041177048214,0.0599252940089297,0.04954980005156698,0.0411913883930515,0.06093246501566127,0.03811554712281479,0.03625923130429635,0.059132220608957474,0.03282806754306695,0.031504178752485304,0.04710373927474312,0.02843299226700357,0.028879969668841272,1.0,0.0448758293341725,0.0648975800733069,0.039782697318279304,0.03601511505098949,0.032584965777672885,0.03495765958098818,0.03538468602213073,0.03673234681716371,0.03405775568642282,0.03266347918110044,0.05159949093477435,0.03431762416448092,0.029783110890539238,0.04247148403406868,0.10587242404393611,0.03506935778634743,0.046036900215551596,0.04450654357383741,0.058717755183590105
ACH-000590,0.03129125063462515,0.0710392761950227,0.044632370213765565,0.005843684637384215,0.07490581116565818,0.053272414406930514,0.04650116391301879,0.03951923359487496,0.05085593760729877,0.030640958832725378,0.055551645749202676,0.028640888236645692,0.027659359531265783,0.03757793433715522,0.051710028425035755,0.02128109389119056,0.0448758293341725,1.0,0.07010250198622019,0.02500057786098976,0.037573663889453365,0.04002770083102493,0.031075410622227552,0.02117438077560226,0.0325308272404555,0.02589304586768125,0.03253407996505128,0.03603659967154141,0.03580271433300232,0.024077541240012636,0.04222457710271204,0.15392338524213153,0.05997249257194452,0.033435469146849604,0.03793251481068086,0.09208963001563314
ACH-000343,0.053582809959968204,0.0948182009042879,0.062271338233424525,0.021658023507226114,0.08739715637062839,0.054315866650931674,0.05734966592427617,0.06527067408311044,0.06801486995020518,0.03653333039317295,0.08102054230668598,0.05533208566565329,0.051351050959906636,0.03649053890535398,0.06354678783950575,0.03857292201003851,0.0648975800733069,0.07010250198622019,1.0,0.05287331531642561,0.04457782631502008,0.042200666849008195,0.0455479399932018,0.04925811625379113,0.062518569359003,0.05582239872630835,0.03445687643924813,0.042890425148174746,0.04143939712288664,0.04042947143557195,0.05115768075215617,0.1423444108005305,0.06405817036062585,0.0480012254606665,0.062173690310532374,0.08398862157930716
ACH-000587,0.02631127435405361,0.07453608207822937,0.022163216873208602,0.007854649317676928,0.04506657635489098,0.03707705950243081,0.02446611535362063,0.04659910223052019,0.026966246606426516,0.019335629215095424,0.05391085389839594,0.01809715605384311,0.03210608968766358,0.02836046185926364,0.021075270133016803,0.0350545638921859,0.039782697318279304,0.02500057786098976,0.05287331531642561,1.0,0.043680467593511074,0.017578531308508425,0.031764610550388504,0.014690606914972548,0.01962795982849038,0.02935060399701573,0.03092264640947006,0.024854788599216533,0.023874512143585155,0.0315059861373661,0.03756532350054381,0.0750544033396989,0.04138488940612116,0.04181353892394817,0.045654430681737586,0.03461237428090635
