,ACH-000470,ACH-000249,ACH-000895,ACH-000489,ACH-000926,ACH-001345,ACH-000501,ACH-000412,ACH-000957,ACH-000943,ACH-000982,ACH-000969,ACH-000202,ACH-000820,ACH-000565,ACH-000798,ACH-000997,ACH-001454,ACH-001456,ACH-000985,ACH-000007,ACH-000552,ACH-000009,ACH-001459,ACH-000236,ACH-001458,ACH-001460,ACH-000971,ACH-000421,ACH-000958,ACH-001461,ACH-000967,ACH-000998,ACH-000286,ACH-000252,ACH-000680
ACH-000798,0.020089879106272548,0.032457607307906707,0.016208994565707992,0.03650912218751415,0.024960917984173797,0.026526310327606224,0.04019273965654663,0.024645078515047554,0.0162358926789504,0.05686509598855938,0.03047235650672952,0.05107580465498036,0.05888016162615705,0.04592692956809052,0.03928895338291311,1.0,0.0376992376992377,0.03752252252252252,0.05737316263632053,0.020191953914240963,0.050891814004205935,0.03488530547354077,0.041316749275226786,0.05670988907983127,0.03804851972391239,0.06356576841158339,0.03968092478730777,0.044803229061553984,0.07049524880850182,0.05282846298074725,0.03238757429628799,0.040500599121288776,0.019019551466359978,0.0565707909744607,0.035538497076958615,0.03961034204936644
ACH-000997,0.016117922578867613,0.02349147858129894,0.018635561721734067,0.07046039650237108,0.02785984812713214,0.06880752707204238,0.025103889084333808,0.024658843453234276,0.02266757336960145,0.0944932564701798,0.08753715134064854,0.07394283890392095,0.04477774211251126,0.023692976277176182,0.04270551793252149,0.0376992376992377,1.0,0.026972614083340726,0.07578582790141097,0.046653326082250514,0.017851787134716444,0.023449349573917047,0.07683319386962782,0.08705045379645855,0.026260488533355796,0.04800632553936519,0.0342439884174745,0.22176080450550684,0.06143097000644839,0.0950634581569189,0.049202842466205904,0.10878303576072339,0.07042757774140752,0.024244583742694913,0.01971494105152302,0.026488164579986675
ACH-001454,0.018859347017495524,0.016954326640835977,0.012451373334905104,0.024432825894176766,0.015597705987582868,0.0254362003980858,0.028386689796562056,0.03388271717355673,0.014682940258786822,0.0507089634357217,0.022780544426554836,0.03445195865764961,0.037858392785031635,0.03278752134099022,0.01954451243584682,0.03752252252252252,0.026972614083340726,1.0,0.03973856209150327,0.017159722698881188,0.022584336328191217,0.027298566485417695,0.04127824140036637,0.04855661339680381,0.014436402833384663,0.031096138896087068,0.02653557331279484,0.03689751884608536,0.04600380130146253,0.03905726419163266,0.035440566268000975,0.043683594127306095,0.022590738423028785,0.03440704263356719,0.018102448079823644,0.026975729316116692
ACH-001456,0.02794143829519153,0.06667600471571478,0.011815443753003082,0.07908548590907755,0.0248585088242371,0.0414989958698041,0.05541288431086653,0.045197617366429486,0.013494995940188485,0.06046177263933038,0.05267699271518495,0.05243368725501389,0.07643957338043812,0.040494375781141505,0.04240551042034617,0.05737316263632053,0.07578582790141097,0.03973856209150327,1.0,0.02098439408517404,0.027301683603822235,0.04088898717381689,0.08634870528878906,0.2786951965655951,0.06613392119041059,0.20799134399876343,0.1654578344387975,0.0902160379084273,0.09477655438340284,0.06176863478493187,0.17510049905769495,0.09465041915132659,0.0369571979594376,0.03486238532110092,0.04457132311383324,0.036552084819093805
ACH-000985,0.011545640120347927,0.01604492298949359,0.030925327902011725,0.02253977002867312,0.01766782239496684,0.03032662871217677,0.020685976706573527,0.018425929605398628,0.024494982133007607,0.04819866200753751,0.04032318562747939,0.042713192618147856,0.021195752305018037,0.01896688146353328,0.016933191326071125,0.020191953914240963,0.046653326082250514,0.017159722698881188,0.02098439408517404,1.0,0.020986687022284695,0.013423805928439054,0.02205058013321328,0.022797633902374867,0.02077338660573737,0.01296912187273503,0.013156311649322896,0.041656118603016414,0.021932644122687844,0.05233698002120489,0.02097445009852956,0.0436873578546616,0.032287296109635294,0.01096207166026142,0.016239392956025216,0.013340638073825312
ACH-000007,0.013666826394185018,0.014380460980057177,0.016222647023152934,0.02202655930951588,0.016167198527630135,0.021164646885886016,0.01892900464340073,0.013989882317252702,0.016185085443763573,0.03465606550458461,0.021002060032615653,0.03467590190476786,0.025534328240096545,0.032882680799616766,0.021062607585633327,0.050891814004205935,0.017851787134716444,0.022584336328191217,0.027301683603822235,0.020986687022284695,1.0,0.015135737292034969,0.023453626237747174,0.01364628275391048,0.01750733034587162,0.012339879901991901,0.015324242867317244,0.026108172398851916,0.027300188440426625,0.022250179200983045,0.014349432599519294,0.02030186018559267,0.012263167576184928,0.015228829019379742,0.029466432481285065,0.023991940207586514
ACH-000552,0.022085883533741364,0.021138395477951658,0.011826173355113588,0.043919703559815886,0.01221042978908916,0.02105982781881651,0.031642147475612226,0.028735333142544943,0.013847192543163911,0.03094107766035329,0.019256588695312625,0.03193793786495075,0.035192681191469725,0.02940345003436731,0.04111443235012126,0.03488530547354077,0.023449349573917047,0.027298566485417695,0.04088898717381689,0.013423805928439054,0.015135737292034969,1.0,0.027226115359638665,0.03855831349880993,0.032396204555120475,0.04442305556583867,0.02543013932250478,0.03135785091029348,0.033689379366204315,0.02773749093546048,0.021993444680776877,0.03346942225165928,0.017210408099409977,0.022280471821756225,0.01750700280112045,0.029416034706565553
ACH-000009,0.021396022246892972,0.028878805249938418,0.00976578300776871,0.04539566343829876,0.024514446418365303,0.029976840607076692,0.04007687288761901,0.04125110251713142,0.015899321093951025,0.04764273741690848,0.0279173338560721,0.03608156715963575,0.07350103859015675,0.031992464842525555,0.03423244544560817,0.041316749275226786,0.07683319386962782,0.04127824140036637,0.08634870528878906,0.02205058013321328,0.023453626237747174,0.027226115359638665,1.0,0.10010733977371976,0.040018840921031175,0.053662857559020845,0.048325867364371375,0.07710455227380915,0.06799642735774808,0.035317016558124525,0.052263652186120564,0.051562207032914587,0.025124082799577903,0.024890744209178545,0.02702874861512072,0.027344079669170393
ACH-001459,0.02872304422574488,0.048515685392221335,0.013381676648093876,0.07157754088360879,0.019862057555295895,0.04402884763438578,0.05189759642951231,0.048721344333291575,0.015265165519915594,0.05413691791042471,0.056871842609729086,0.04695246573796597,0.07939709792198515,0.03523723824484878,0.05153625324902045,0.05670988907983127,0.08705045379645855,0.04855661339680381,0.2786951965655951,0.022797633902374867,0.01364628275391048,0.03855831349880993,0.10010733977371976,1.0,0.06464505845917945,0.2200096763515062,0.12207032912973141,0.09805008078486728,0.10575692153796479,0.05597710030678547,0.1837574652819418,0.08938940934157198,0.03686585290862133,0.03326085803680331,0.03283510620104662,0.03271770289957235
ACH-000236,0.013749075288857281,0.039881841900840556,0.008397248248678858,0.02799556245450639,0.014014679666694764,0.023582197193858,0.04326974813899845,0.029784578477298883,0.009801439177985968,0.04514575830416115,0.01680658266152549,0.038205131117193446,0.03858011749154357,0.030980765954311658,0.031065158063647118,0.03804851972391239,0.026260488533355796,0.014436402833384663,0.06613392119041059,0.02077338660573737,0.01750733034587162,0.032396204555120475,0.040018840921031175,0.06464505845917945,1.0,0.06077706278365918,0.03209341251003276,0.03313944171188163,0.03587696812953862,0.028446869810784023,0.040793764588598506,0.03373553188501735,0.01930976384092681,0.016911635205021053,0.02726574897336073,0.024436356929014316
